state,level_1,level_2,level_3,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Amazonas,1. Garimpo,1.1 Metálicas,1.1.01 Ouro,"689,7884758","673,1415823","787,8958525","930,5640473","1056,126448","1110,076237","1194,882005","1206,368675","1263,831112","1235,307266","1168,185697","1123,092231","1172,211951","1125,903496","1070,817656","1135,268553","1152,371671","1138,362098","1130,251572","1116,814314","1114,319753","1107,752201","1120,400023","1200,856546","1232,293661","1269,059732","1232,367431","1216,338645","1224,855462","1242,505766","1280,28956","1337,175586","1456,390788","1519,501876","1565,192142","1682,73903","1870,143272"
Amazonas,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"72,50230243","85,44845433","98,84379175","109,4738762","135,2841595","140,4624798","155,2843962","159,1239879","166,4454439","171,7134457","184,6603219","238,3251489","264,755041","310,3796049","473,3297849","527,8861398","561,9956822","586,6358876","610,3878658","625,2073648","645,5647076","662,8873948","672,9774846","693,0678753","719,2305182","739,9461569","752,2695277","762,449772","774,7734888","809,9565402","832,9068526","855,2295391","876,6599102","885,0542093","884,6966516","888,0001562","900,9476412"
Bahia,2. Industrial,2.2 Metálicas,2.2.02 Manganês,"4,907473175","10,42838366","13,05739302","13,40793412","14,10900245","13,6708314","14,63480765","16,65039899","17,00093934","18,84126503","19,19180128","20,68156239","20,94446187","33,30069866","37,85761307","43,11567723","45,48178456","47,84791479","51,00275971","51,09040602","52,2296377","54,59575271","55,55971664","65,37455201","67,47772761","66,68902883","67,30245701","67,03954874","67,56535558","67,82824982","67,21481893","66,68902209","66,6890193","66,07558266","66,77665952","66,95192395","66,86429432"
Bahia,2. Industrial,2.2 Metálicas,2.2.03 Níquel,,,,,,,,,,,,,,,,,,,,,,,,"216,9391947","274,2742526","445,1514187","511,5067393","587,9227747","655,6649475","691,3139867","753,2457916","762,78695","765,8228202","769,205617","783,0834759","802,0789828","803,8138009"
Bahia,2. Industrial,2.2 Metálicas,2.2.07 Cromo,"267,051721","435,7238251","482,4135585","534,5548934","586,5186663","595,0467481","603,6656773","609,29114","609,9061428","611,1373216","614,3809991","628,2682938","652,4425487","679,2606337","693,4104789","717,9382981","728,665577","733,3249961","743,6972407","748,4408408","753,2713012","751,8627641","752,8278853","754,4099716","758,7135817","759,7693765","762,9291586","771,1751559","774,3394239","774,7783147","771,7898758","772,4053228","773,7213621","775,474769","783,7201691","783,8955739","784,1583672"
Bahia,2. Industrial,2.2 Metálicas,2.2.08 Cobre,"722,6042379","836,9735839","948,7887461","1054,347377","1150,477688","1203,962027","1274,187498","1352,166965","1393,403599","1467,77215","1515,092249","1542,215631","1571,204719","1596,400945","1613,847175","1619,310098","1628,473719","1633,497249","1642,308751","1692,534247","1693,855971","1698,261408","1724,517495","1736,4142","1752,978938","1757,473488","1781,087242","1785,140318","1786,462902","1789,106196","1795,185938","1800,825073","1819,152803","1821,355639","1826,730536","1825,673204","1825,7613"
Bahia,2. Industrial,2.2 Metálicas,2.2.10 Magnésio,"41,58883183","60,27405531","64,4398662","65,39704598","69,08567047","70,56740738","70,13363464","71,00122195","75,33919227","79,93733399","86,0117433","108,3100538","112,6549178","161,4541171","174,7346292","209,1768864","296,4486616","299,5717964","303,2154115","311,7179921","315,968964","316,6629026","333,4060424","341,907733","362,8188819","391,4474855","401,9411272","416,3533419","440,0359986","445,5009979","454,8728385","469,3626621","479,947144","489,6644579","496,0851841","504,3296427","503,982577"
Bahia,2. Industrial,2.2 Metálicas,2.2.11 Bário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,08689863892","2,085567334","2,693856927","2,693856927","2,693856927"
Bahia,2. Industrial,2.2 Metálicas,2.2.14 Ouro,"45,69143724","60,78094431","73,8473032","93,48700449","117,0770378","118,0412173","171,4425337","211,5070346","225,3677583","267,4683235","361,4676549","384,260323","395,3079231","467,6084673","500,3074672","522,6672345","529,8569278","539,4150064","543,8865137","568,081392","585,7060509","595,5262046","602,5414268","630,0792807","684,3786676","705,080498","719,8993416","845,6371734","1041,664074","1100,901397","1115,370199","1122,294229","1150,542253","1168,530776","1175,376733","1188,27178","1188,183928"
Bahia,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"44,82698602","48,66427827","52,50154782","55,37950473","58,08309426","59,12963034","64,36232819","67,50197509","80,58394877","82,15385433","83,02598174","83,54922038","85,64254716","96,54531749","113,377615","124,2796041","134,6581845","140,065588","143,2927524","145,7348879","146,955972","147,7409261","150,3577239","151,9278416","152,4511146","155,2420096","158,9922718","162,4811777","167,540282","171,0291078","176,0880066","178,8791268","179,8384883","181,9316566","183,1525597","183,1525531","182,541973"
Bahia,2. Industrial,2.3 Não Metálicas,2.3.04 Gráfita,,,,"2,325064166","8,783605786","8,783605786","8,869719696","8,955833826","9,128061304","9,128061304","9,12806142","9,300289349","9,644743756","10,16142587","15,06987784","20,32279994","26,69522843","27,72859355","29,45087319","31,60372327","35,13440068","40,4734549","41,42071627","42,62632194","44,00416034","45,72645693","48,48213148","49,34327335","49,42938871","49,68773033","51,84060852","53,47679611","56,74919172","58,29927256","58,90207651","60,71049238","60,96883979"
Bahia,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"20,91868577","26,07997943","27,12895004","28,43530851","30,68284701","33,19907524","37,13561785","44,22813989","49,14197042","50,88589897","54,49169862","65,12416559","68,89848874","96,965452","119,9125251","128,9158612","133,8659313","136,6423224","138,6498513","146,429506","153,2226255","158,7810692","164,8516337","177,9682311","191,1762628","197,3793355","202,3400326","217,7102586","226,1261404","235,976477","242,1981166","251,4464712","261,8268162","280,5257557","294,8467262","302,6869282","302,5883558"
Bahia,2. Industrial,2.4 Não Identificado,Não Identificado,"217,1295803","259,3205089","287,2494747","309,308118","361,1903589","383,0654034","409,00866","417,2483597","426,6427598","433,2336125","442,0647846","462,2852516","482,089387","531,4876367","575,2354313","606,7280561","616,3053131","622,2620584","633,3832294","662,2363016","677,4778524","683,1618233","698,1306393","717,438725","732,4074686","759,8296736","796,3730121","818,3319797","833,890526","853,5706459","874,6444583","906,7979595","927,8273891","944,1424114","959,6300089","966,3306754","966,7565704"
Bahia,2. Industrial,2.1 Energéticas,2.1.02 Urânio,,,,,,,,,,,,,,"24,23668119","32,31562261","49,16856167","77,31472587","94,42823329","101,9859935","131,3483487","142,4678215","142,7284336","145,5083043","148,4619219","155,8459391","161,4925852","176,8686661","182,9496028","187,4668019","191,6365152","195,9799661","226,2095312","248,7076159","253,3114829","253,5720914","254,3538735","254,7013485"
Bahia,2. Industrial,2.1 Energéticas,2.1.03 Gás natural e petróleo,"76,50899817","77,99717597","80,44799657","82,37341791","193,8927839","253,671421","256,472293","261,3738269","353,4483424","465,3061258","486,8395287","490,9530116","492,9662281","494,1916102","495,8546038","495,1544188","493,0540596","492,2665705","492,4415228","490,6906904","491,1282867","490,9531903","491,3032414","489,4648695","487,2768142","491,6539141","491,391307","493,9294742","494,1047281","494,1047423","494,9799136","494,017045","495,2427374","495,7679953","495,8556144","495,855764","499,0941279"
Bahia,1. Garimpo,1.1 Metálicas,1.1.01 Ouro,,,,,"6,929372693","7,894210437","8,157351514","15,08668984","18,41979357","18,85835806","19,03378563","19,47234923","19,82320206","20,87576262","21,31432631","21,13890049","20,43719572","20,87576366","21,66517945","21,48975251","21,66517825","21,75289166","21,9283231","23,06859589","23,06859918","22,89317337","22,36689344","22,36689545","22,80545897","22,89317344","23,24402715","22,89317208","21,92832759","21,57747444","22,80547252","26,75260449","26,66488994"
Bahia,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"19,55572546","22,15336118","22,4995219","23,53643495","33,90284674","39,87409224","40,73830607","42,03722415","46,6184894","52,58201507","54,56958693","54,91553951","61,58319662","62,53929684","63,49214938","64,7900129","65,56817115","65,30856973","65,39538541","65,56859586","65,2227763","64,78953649","64,61674371","65,22154211","65,04854752","67,05708688","68,28232776","70,792802","72,43548715","72,69608065","73,81988308","75,19968069","78,65843616","80,21712296","79,86936329","79,95377011","80,04191971"
Bahia,1. Garimpo,1.3 Pedras Preciosas & Rochas Ornamentais,1.3.02 Rochas Ornamentais,"6,672430823","7,198559583","8,164654407","8,515527155","9,637564331","11,02638054","11,37748851","14,26054514","17,22476278","20,7182512","23,41455982","27,7737952","38,03475652","62,24868987","68,48596286","74,07984637","77,52121857","81,379117","87,67853036","91,56573299","93,20927796","96,15239406","97,71851228","100,4231036","102,931821","105,1077053","108,4037393","111,5243711","116,0471308","118,2302221","120,2487432","125,1209472","130,2381316","133,4154816","138,6186938","144,2963712","144,5618427"
