state,level_1,level_2,level_3,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahia,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"146,429506","153,2226255","158,7810692","164,8516337","177,9682311","191,1762628","197,3793355","202,3400326","217,7102586","226,1261404","235,976477","242,1981166","251,4464712","261,8268162","280,5257557","294,8467262","302,6869282","302,5883558"
Bahia,2. Industrial,2.4 Não Identificado,Não Identificado,"662,2363016","677,4778524","683,1618233","698,1306393","717,438725","732,4074686","759,8296736","796,3730121","818,3319797","833,890526","853,5706459","874,6444583","906,7979595","927,8273891","944,1424114","959,6300089","966,3306754","966,7565704"
Bahia,2. Industrial,2.1 Energéticas,2.1.02 Urânio,"131,3483487","142,4678215","142,7284336","145,5083043","148,4619219","155,8459391","161,4925852","176,8686661","182,9496028","187,4668019","191,6365152","195,9799661","226,2095312","248,7076159","253,3114829","253,5720914","254,3538735","254,7013485"
Bahia,2. Industrial,2.1 Energéticas,2.1.03 Gás natural e petróleo,"490,6906904","491,1282867","490,9531903","491,3032414","489,4648695","487,2768142","491,6539141","491,391307","493,9294742","494,1047281","494,1047423","494,9799136","494,017045","495,2427374","495,7679953","495,8556144","495,855764","499,0941279"
Bahia,1. Garimpo,1.1 Metálicas,1.1.01 Ouro,"21,48975251","21,66517825","21,75289166","21,9283231","23,06859589","23,06859918","22,89317337","22,36689344","22,36689545","22,80545897","22,89317344","23,24402715","22,89317208","21,92832759","21,57747444","22,80547252","26,75260449","26,66488994"
Bahia,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"65,56859586","65,2227763","64,78953649","64,61674371","65,22154211","65,04854752","67,05708688","68,28232776","70,792802","72,43548715","72,69608065","73,81988308","75,19968069","78,65843616","80,21712296","79,86936329","79,95377011","80,04191971"
Bahia,1. Garimpo,1.3 Pedras Preciosas & Rochas Ornamentais,1.3.02 Rochas Ornamentais,"91,56573299","93,20927796","96,15239406","97,71851228","100,4231036","102,931821","105,1077053","108,4037393","111,5243711","116,0471308","118,2302221","120,2487432","125,1209472","130,2381316","133,4154816","138,6186938","144,2963712","144,5618427"
Ceará,2. Industrial,2.2 Metálicas,2.2.01 Ferro,"4,537001434","4,537001434","4,537001434","4,537001434","4,27011864","4,27011864","45,03752357","63,6313871","105,6198333","113,8027153","118,9628968","122,787938","123,8562106","123,8554734","125,3678068","125,1006745","129,5612543","129,5619907"
Ceará,2. Industrial,2.2 Metálicas,2.2.02 Manganês,"3,197922931","5,063376099","5,152206543","5,241037506","6,040517322","6,12934801","6,307010675","7,461813501","7,994800061","8,172461981","8,1724617","9,682590546","11,72570918","11,45921537","11,45921537","11,45921537","11,63687817","11,63687817"
Ceará,2. Industrial,2.2 Metálicas,2.2.09 Alumínio,"14,63799868","14,99286201","14,6379998","15,17029125","15,17029489","15,08158093","36,10711754","40,80899696","42,84941635","56,95448638","56,51091159","56,42221112","56,68835742","57,75289878","59,52714001","60,23683941","61,3013817","61,1239488"
Ceará,2. Industrial,2.2 Metálicas,2.2.10 Magnésio,"14,48082531","16,25761514","16,70181261","17,23485005","18,12324298","19,36699738","28,78392976","34,38082053","36,77948593","51,61558518","53,74772853","73,55888279","98,34509528","102,964765","108,2063092","113,6255299","118,4228691","118,422871"
Ceará,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"8,742915802","11,50853022","11,3301032","12,48987695","12,40066362","20,69758095","23,82006861","27,21020474","32,65226003","41,21680705","46,92650825","57,45374103","72,53091853","88,7679098","97,3324766","104,4695938","107,2352319","107,3244462"
Ceará,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"579,2211951","594,9966461","610,7774114","628,330637","648,1098379","668,9530703","689,1037508","712,5486137","810,274943","864,9754975","899,2759998","1098,563636","1249,794241","1277,532697","1306,516715","1336,033692","1368,559252","1368,823279"
Ceará,2. Industrial,2.4 Não Identificado,Não Identificado,,,,"0,1784749756","2,140851855","2,051652875","2,408602765","2,408602686","3,389791504","3,47899054","3,835786322","5,26300722","9,098599939","10,16894764","10,52574309","12,66694572","15,43211456","15,69971115"
Ceará,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"253,539074","255,7623363","255,7629186","255,6730485","263,0532406","369,5397806","456,7746922","472,5588035","480,8410322","491,7123763","497,7781687","502,6718888","526,5787923","533,9746047","538,0775863","542,1803107","545,0329022","544,6742184"
Ceará,1. Garimpo,1.3 Pedras Preciosas & Rochas Ornamentais,1.3.01 Pedras preciosas,"0,08896279907","0,08896279907","0,08896279907","0,4448104065","1,067544086","1,512353296","1,512353296","1,512353296","2,579894763","3,024702844","3,380550323","7,561767688","15,39044172","16,01317289","16,19109653","17,25864107","17,16967884","17,43656663"
Ceará,1. Garimpo,1.3 Pedras Preciosas & Rochas Ornamentais,1.3.02 Rochas Ornamentais,"62,96791536","65,10437203","66,17262056","68,30991819","69,37791669","71,7849446","72,9424672","76,14844509","79,08776572","96,63573918","101,0904514","129,4072047","155,4140488","159,1554154","161,3816504","163,9646018","164,2329277","163,6988484"
Distrito Federal,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"165,2333076","169,6291424","171,7839775","174,1974044","176,1798397","181,1791245","187,2126598","191,3499313","196,6077023","202,5551507","206,7786957","207,2958629","208,6749526","218,2424346","222,3797034","223,0692526","223,5002139","223,7587966"
Distrito Federal,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"270,4174895","291,2782443","305,243078","311,4491876","318,3453543","326,1038624","345,6696889","356,7008157","374,1093695","385,1417648","391,43424","396,5186951","403,4129603","406,0838097","408,6686769","411,4273194","419,0129305","418,4094502"
Goiás,2. Industrial,2.2 Metálicas,2.2.02 Manganês,"53,48510849","53,4851088","53,57179357","53,65847997","53,65847997","53,65847997","55,04545314","55,56556566","55,47887916","56,08568742","55,73894384","55,99900568","55,91231878","56,0856925","56,17238163","55,8256339","56,08569483","56,08569483"
Goiás,2. Industrial,2.2 Metálicas,2.2.03 Níquel,"1380,186366","1670,8642","2091,68041","2485,721341","3220,491","3720,097063","3976,129174","4526,8063","4803,752529","4985,701887","5125,810337","5257,936063","5430,729129","5607,707897","5710,054863","5785,496053","5849,52841","5850,824705"
Goiás,2. Industrial,2.2 Metálicas,2.2.04 Amianto,"813,4339959","816,3044096","821,4366426","827,1778518","828,3086359","834,483897","841,5289591","844,1382298","852,8361131","859,0985032","871,8843879","891,6295331","912,8528789","915,114416","916,0712096","917,6369297","917,810912","917,2020312"
Goiás,2. Industrial,2.2 Metálicas,2.2.06 Titânio,"30,10718275","30,10718275","30,27873437","30,36450994","30,53606051","30,4502847","30,62183667","31,30803389","31,4795821","31,39380723","31,47958246","31,3938063","31,4795814","31,47958211","31,47958211","31,47958211","31,47958211","31,73690836"
Goiás,2. Industrial,2.2 Metálicas,2.2.08 Cobre,"188,8044208","444,2979295","588,5225078","648,5375817","816,7029317","995,4474586","1135,512336","1300,465204","1494,383925","1605,828223","1807,02686","2025,736004","2213,146174","2372,279584","2494,12315","2638,944809","2663,746351","2663,919638"
Goiás,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"1379,778935","1405,551295","1420,001832","1430,674043","1453,296589","1459,068369","1481,173266","1509,601942","1555,172731","1585,569945","1617,884063","1640,364257","1658,505982","1668,641815","1684,130649","1702,2245","1712,83854","1710,075916"
Goiás,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"252,911188","262,9682521","269,3279222","276,0888699","282,513478","286,2121938","294,4629582","298,0577287","308,0966668","318,794694","322,2178754","323,3291434","325,2980345","329,333586","334,9854922","376,0814072","377,7920731","377,1043491"
